trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.001423994304022784}",25,0,5.536558525826489,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,0,15.011474488563756,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.001322314049586777}",20,4,-9.289144698655955,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.0012755102040816326}",20,0,-70.3177727633657,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.0012311480455524776}",25,9,26.140443768436736,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.0011890606420927466}",25,0,40.41439618405034,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.0011490950876185005}",20,0,25.40618422936762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.0011111111111111111}",25,0,-39.61072284058557,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.0010749798441279225}",20,6,19.778918162907775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.001040582726326743}",25,0,34.558428105390476,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.0010078105316200555}",25,1,10.7688489049851,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.0009765625}",20,2,27.097927748594298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.0009467455621301775}",25,8,-26.782664834300217,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,19.217083552177236,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.0008910670527957229}",30,0,28.945398469584568,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.0008650519031141869}",30,0,36.92888773669214,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.0008401596303297626}",20,0,-22.011541162800867,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.0008163265306122449}",25,0,-2.297564332041654,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.0007934933544931561}",20,0,-20.005500684288986,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,0,6.145469453683921,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.0007506098705197974}",25,0,-29.763484061360433,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,0,25.463812555049046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.0007111111111111111}",20,0,4.145226221037996,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.0006925207756232687}",35,9,11.19453395513607,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.0006746500252993759}",20,0,4.794549738218068,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.0006574621959237344}",25,0,37.74986439675446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.0006409229290177856}",30,0,-9.011089898096516,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.000625}",35,6,38.748368403487625,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.0006096631611034903}",25,9,28.95003709948117,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.000594883997620464}",20,0,27.39528396005468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.0005806357961968355}",25,0,-26.685833182070674,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.0005668934240362812}",20,9,-3.7388563455266706,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.0005536332179930796}",20,0,-7.292164238047195,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.0005408328826392645}",25,0,-17.720380325038928,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.0005284713964856652}",25,0,-10.51934244662294,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.0005165289256198347}",30,8,30.575415417955156,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.0005049867440979674}",25,11,19.727608016053857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.0004938271604938272}",20,0,17.027788997159348,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.0004830334500664171}",20,0,-51.584364849994756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.0004725897920604915}",25,0,37.42748098710236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.00046248121170077463}",25,8,25.458750924313655,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.0004526935264825713}",30,4,32.00156112986857,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.00044321329639889195}",25,0,28.740632142589817,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.00043402777777777775}",25,0,25.39386505398431,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.0004251248804336274}",20,0,-13.420622525461173,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.00041649312786339027}",25,0,5.164200072877188,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.00040812162024283236}",25,0,33.435427275334376,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.0004}",30,23,9.214680519314248,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
